date,date,ave_t,max_t,min_t
2015-05-01,2015-05-01,21.1,26.4,16.6
2015-06-01,2015-06-01,22.1,26.4,18.6
2015-07-01,2015-07-01,26.2,30.1,23.2
2015-08-01,2015-08-01,26.7,30.5,23.9
2015-09-01,2015-09-01,22.6,26.4,19.8
2015-10-01,2015-10-01,18.4,22.7,14.8
2015-11-01,2015-11-01,13.9,17.8,10.7
2015-12-01,2015-12-01,9.3,13.4,5.8
2016-01-01,2016-01-01,6.1,10.6,1.8
2016-02-01,2016-02-01,7.2,12.2,3.1
2016-03-01,2016-03-01,10.1,14.9,6.1
2016-04-01,2016-04-01,15.4,20.3,11.3
2016-05-01,2016-05-01,20.2,25.2,15.7
2016-06-01,2016-06-01,22.4,26.3,19.1
2016-07-01,2016-07-01,25.4,29.7,22.1
2016-08-01,2016-08-01,27.1,31.6,23.9
2016-09-01,2016-09-01,24.4,27.7,21.9
2016-10-01,2016-10-01,18.7,22.6,15.3
2016-11-01,2016-11-01,11.4,15.5,8.1
2016-12-01,2016-12-01,8.9,13.8,4.5
2017-01-01,2017-01-01,5.8,10.8,1.7
2017-02-01,2017-02-01,6.9,12.1,2.6
2017-03-01,2017-03-01,8.5,13.4,4.2
2017-04-01,2017-04-01,14.7,19.9,10.2
2017-05-01,2017-05-01,20.0,25.1,16.0
2017-06-01,2017-06-01,22.0,26.4,18.5
2017-07-01,2017-07-01,27.3,31.8,24.0
2017-08-01,2017-08-01,26.4,30.4,23.4
2017-09-01,2017-09-01,22.8,26.8,19.5
2017-10-01,2017-10-01,16.8,20.1,14.2
2017-11-01,2017-11-01,11.9,16.6,7.9
2017-12-01,2017-12-01,6.6,11.1,2.7
